date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:19:48	8004/8004	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2013%20Mar%202023%2004:19:48%20GMT	https://www.classcentral.com/institution/british-council	D:/Trial_Scraping_5/trial/www.classcentral.com/institution/british-council.144.delayed	(from https://www.classcentral.com/)
06:19:49	189/189	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Mar%202023%2004:05:37%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Fbritish-council.png?auto=format&blur=200&cs=strip&fit=&h=50&ixlib=php-3.3.1&px=16&w=50&s=b9bc36624d8366ad5068c550da0e919b	D:/Trial_Scraping_5/trial/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/british-councilbe04.png	(from https://www.classcentral.com/)
06:19:49	2205/2205	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Mar%202023%2011:02:25%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Fbritish-council.png?auto=format&cs=strip&fit=&h=50&ixlib=php-3.3.1&w=50&s=ce4a3136cf6152a19e7e89a15dc790a7	D:/Trial_Scraping_5/trial/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/british-council9165.png	(from https://www.classcentral.com/)
06:19:49	7894/7894	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2013%20Mar%202023%2004:19:49%20GMT	https://www.classcentral.com/institutions	D:/Trial_Scraping_5/trial/www.classcentral.com/institutions.147.delayed	(from https://www.classcentral.com/)
06:19:49	8173/8173	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Dec%202022%2011:52:37%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&blur=200&ixlib=php-3.3.1&px=16&s=ce0e330983ef9ac06ec75d7196e86d53	D:/Trial_Scraping_5/trial/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-time992b.png	(from https://www.classcentral.com/)
06:19:50	25841/25841	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&ixlib=php-3.3.1&s=2243a68cbc2b37e04fdf74e1b8ea98f9	D:/Trial_Scraping_5/trial/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-time5fef.png	(from https://www.classcentral.com/)
06:19:50	16307/16307	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Mar%202023%2012:01:26%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-2022.png?auto=format&blur=200&ixlib=php-3.3.1&px=16&s=e9e14669abba454f8aa1e6ba84ab1702	D:/Trial_Scraping_5/trial/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-2022a427.png	(from https://www.classcentral.com/)
06:19:50	135090/135090	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-2022.png?auto=format&ixlib=php-3.3.1&s=14c4ca36ec8c064ed28b180491257b48	D:/Trial_Scraping_5/trial/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-20226fc4.png	(from https://www.classcentral.com/)
06:19:50	1396/1396	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Mar%202023%2001:28:53%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Freport%2Fwp-content%2Fuploads%2F2023%2F03%2Ffuturelearn-raises-sub-price.png?auto=format&blur=200&ixlib=php-3.3.1&px=16&w=375&s=f76dbb5564414578f987304184dd6c15	D:/Trial_Scraping_5/trial/ccweb.imgix.net/https_/www.classcentral.com/report/wp-content/uploads/2023/03/futurelearn-raises-sub-pricec897.png	(from https://www.classcentral.com/)
06:19:51	11044/11044	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Mar%202023%2000:55:57%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Freport%2Fwp-content%2Fuploads%2F2023%2F03%2Ffuturelearn-raises-sub-price.png?auto=format&ixlib=php-3.3.1&w=375&s=b8be43f9345882e359926f1c541dd037	D:/Trial_Scraping_5/trial/ccweb.imgix.net/https_/www.classcentral.com/report/wp-content/uploads/2023/03/futurelearn-raises-sub-price9f02.png	(from https://www.classcentral.com/)
